,0
0,"2.1000000000048757e-06
"
1,"2.4999999999955613e-06
"
2,"2.2000000000008124e-06
"
3,"2.600000000005376e-06
"
4,"2.3999999999996247e-06
"
5,"5.899999999996186e-06
"
6,"1.0200000000001874e-05
"
7,"7.100000000002937e-06
"
8,"7.699999999999374e-06
"
9,"3.7999999999982492e-06
"
10,"3.399999999986747e-06
"
11,"5.199999999996874e-06
"
12,"2.9000000000001247e-06
"
13,"2.300000000010627e-06
"
14,"3.1999999999948736e-06
"
15,"2.3999999999996247e-06
"
16,"2.300000000010627e-06
"
17,"3.600000000006376e-06
"
18,"2.599999999991498e-06
"
19,"2.3999999999996247e-06
"
20,"2.3999999999996247e-06
"
21,"2.799999999997249e-06
"
22,"2.300000000010627e-06
"
23,"2.600000000005376e-06
"
24,"2.600000000005376e-06
"
25,"3.900000000001125e-06
"
26,"2.299999999996749e-06
"
27,"2.5000000000025002e-06
"
28,"2.9000000000001247e-06
"
29,"2.6999999999943736e-06
"
30,"2.599999999991498e-06
"
31,"2.9999999999891225e-06
"
32,"2.799999999997249e-06
"
33,"2.799999999997249e-06
"
34,"2.6999999999943736e-06
"
35,"2.6999999999943736e-06
"
36,"2.3999999999996247e-06
"
37,"2.3999999999996247e-06
"
38,"2.5000000000025002e-06
"
39,"2.5000000000025002e-06
"
40,"2.5000000000025002e-06
"
41,"2.5000000000025002e-06
"
42,"2.600000000005376e-06
"
43,"2.799999999997249e-06
"
44,"2.4999999999886224e-06
"
45,"2.4999999999886224e-06
"
46,"9.80000000000425e-06
"
47,"2.6999999999943736e-06
"
48,"2.6999999999943736e-06
"
49,"3.900000000001125e-06
"
50,"3.1999999999948736e-06
"
51,"7.199999999998874e-06
"
52,"6.699999999998374e-06
"
53,"7.000000000007001e-06
"
54,"7.000000000007001e-06
"
55,"4.5000000000045e-06
"
56,"3.7999999999982492e-06
"
57,"3.4999999999896225e-06
"
58,"3.2000000000087514e-06
"
59,"3.4000000000006247e-06
"
60,"3.1999999999948736e-06
"
61,"3.299999999997749e-06
"
62,"3.7000000000092514e-06
"
63,"3.299999999997749e-06
"
64,"3.4000000000006247e-06
"
65,"3.1999999999948736e-06
"
66,"4.100000000006876e-06
"
67,"7.80000000000225e-06
"
68,"1.230000000000675e-05
"
69,"3.4999999999896225e-06
"
70,"3.1999999999948736e-06
"
71,"3.600000000006376e-06
"
72,"3.7999999999982492e-06
"
73,"3.7999999999982492e-06
"
74,"4.100000000006876e-06
"
75,"3.6999999999953737e-06
"
76,"3.5000000000035003e-06
"
77,"3.5000000000035003e-06
"
78,"3.2000000000087514e-06
"
79,"3.299999999997749e-06
"
80,"3.4000000000006247e-06
"
81,"3.4000000000006247e-06
"
82,"3.299999999997749e-06
"
83,"3.4999999999896225e-06
"
84,"3.600000000006376e-06
"
85,"3.4000000000006247e-06
"
86,"3.4000000000006247e-06
"
87,"4.199999999995874e-06
"
88,"3.7999999999982492e-06
"
89,"3.7999999999982492e-06
"
90,"3.7999999999982492e-06
"
91,"3.599999999992498e-06
"
92,"3.600000000006376e-06
"
93,"4.000000000004e-06
"
94,"3.9999999999901226e-06
"
95,"3.7999999999982492e-06
"
96,"5.600000000008376e-06
"
97,"5.600000000008376e-06
"
98,"5.299999999999749e-06
"
99,"1.0499999999996623e-05
"
100,"9.399999999992747e-06
"
101,"1.0700000000002374e-05
"
102,"3.740000000000687e-05
"
103,"9.80000000000425e-06
"
104,"6.899999999990247e-06
"
105,"6.599999999995498e-06
"
106,"1.280000000000725e-05
"
107,"4.100000000006876e-06
"
108,"4.000000000004e-06
"
109,"4.000000000004e-06
"
110,"4.100000000006876e-06
"
111,"4.100000000006876e-06
"
112,"4.100000000006876e-06
"
113,"4.199999999995874e-06
"
114,"4.199999999995874e-06
"
115,"4.299999999998749e-06
"
116,"4.400000000001625e-06
"
117,"4.2000000000097515e-06
"
118,"4.199999999995874e-06
"
119,"4.2000000000097515e-06
"
120,"4.400000000001625e-06
"
121,"4.400000000001625e-06
"
122,"4.299999999998749e-06
"
123,"4.400000000001625e-06
"
124,"4.399999999987747e-06
"
125,"4.299999999998749e-06
"
126,"4.400000000001625e-06
"
127,"4.400000000001625e-06
"
128,"4.599999999993498e-06
"
129,"4.600000000007376e-06
"
130,"4.699999999996374e-06
"
131,"4.499999999990623e-06
"
132,"4.399999999987747e-06
"
133,"4.599999999993498e-06
"
134,"4.499999999990623e-06
"
135,"5.299999999999749e-06
"
136,"4.999999999991123e-06
"
137,"4.699999999996374e-06
"
138,"4.799999999999249e-06
"
139,"4.799999999999249e-06
"
140,"4.799999999999249e-06
"
141,"5.400000000002625e-06
"
142,"5.099999999993998e-06
"
143,"4.799999999999249e-06
"
144,"4.900000000002125e-06
"
145,"4.900000000002125e-06
"
146,"4.900000000002125e-06
"
147,"5.199999999996874e-06
"
148,"5.400000000002625e-06
"
149,"7.099999999995998e-06
"
150,"5.900000000003125e-06
"
151,"1.1700000000003374e-05
"
152,"1.56000000000045e-05
"
153,"1.9100000000008e-05
"
154,"9.30000000000375e-06
"
155,"1.890000000000225e-05
"
156,"7.699999999999374e-06
"
157,"9.099999999997999e-06
"
158,"7.000000000007001e-06
"
159,"5.899999999989247e-06
"
160,"5.199999999996874e-06
"
161,"5.400000000002625e-06
"
162,"5.099999999993998e-06
"
163,"5.099999999993998e-06
"
164,"5.100000000007876e-06
"
165,"5.900000000003125e-06
"
166,"5.400000000002625e-06
"
167,"5.400000000002625e-06
"
168,"5.299999999999749e-06
"
169,"5.299999999999749e-06
"
170,"5.299999999999749e-06
"
171,"5.5000000000055005e-06
"
172,"5.299999999999749e-06
"
173,"5.5000000000055005e-06
"
174,"5.400000000002625e-06
"
175,"5.400000000002625e-06
"
176,"5.399999999988747e-06
"
177,"5.599999999994498e-06
"
178,"5.400000000002625e-06
"
179,"5.599999999994498e-06
"
180,"6.400000000003625e-06
"
181,"5.900000000003125e-06
"
182,"5.800000000000249e-06
"
183,"5.800000000000249e-06
"
184,"5.800000000000249e-06
"
185,"5.900000000003125e-06
"
186,"6.399999999989747e-06
"
187,"5.900000000003125e-06
"
188,"5.800000000000249e-06
"
189,"5.700000000011252e-06
"
190,"5.699999999997374e-06
"
191,"8.499999999994623e-06
"
192,"6.3000000000007494e-06
"
193,"1.2799999999993372e-05
"
194,"1.3600000000002499e-05
"
195,"8.700000000000374e-06
"
196,"1.1700000000003374e-05
"
197,"7.80000000000225e-06
"
198,"7.699999999999374e-06
"
199,"5.999999999992123e-06
"
200,"6.0000000000060005e-06
"
201,"6.3000000000007494e-06
"
202,"6.099999999994998e-06
"
203,"6.0000000000060005e-06
"
204,"5.900000000003125e-06
"
205,"6.699999999998374e-06
"
206,"6.8000000000012495e-06
"
207,"6.599999999995498e-06
"
208,"6.499999999992623e-06
"
209,"9.400000000006625e-06
"
210,"1.0499999999996623e-05
"
211,"6.899999999990247e-06
"
212,"6.699999999998374e-06
"
213,"6.199999999997874e-06
"
214,"6.400000000003625e-06
"
215,"6.3000000000007494e-06
"
216,"6.400000000003625e-06
"
217,"6.199999999997874e-06
"
218,"6.500000000006501e-06
"
219,"6.400000000003625e-06
"
220,"6.399999999989747e-06
"
221,"6.399999999989747e-06
"
222,"6.599999999995498e-06
"
223,"6.499999999992623e-06
"
224,"6.499999999992623e-06
"
225,"6.699999999998374e-06
"
226,"6.500000000006501e-06
"
227,"6.499999999992623e-06
"
228,"6.600000000009376e-06
"
229,"6.599999999995498e-06
"
230,"1.3299999999993872e-05
"
231,"6.599999999995498e-06
"
232,"6.600000000009376e-06
"
233,"6.8000000000012495e-06
"
234,"6.8000000000012495e-06
"
235,"7.000000000007001e-06
"
236,"6.8000000000012495e-06
"
237,"6.599999999995498e-06
"
238,"6.699999999998374e-06
"
239,"6.8000000000012495e-06
"
240,"6.8999999999763695e-06
"
241,"6.900000000004125e-06
"
242,"6.900000000004125e-06
"
243,"6.8999999999763695e-06
"
244,"6.900000000004125e-06
"
245,"6.900000000004125e-06
"
246,"7.799999999974494e-06
"
247,"1.1200000000016752e-05
"
248,"1.9199999999996997e-05
"
249,"1.66000000000055e-05
"
250,"7.200000000012752e-06
"
251,"7.299999999987872e-06
"
252,"7.000000000007001e-06
"
253,"1.180000000000625e-05
"
254,"7.299999999987872e-06
"
255,"6.999999999979245e-06
"
256,"7.400000000018503e-06
"
257,"7.80000000000225e-06
"
258,"7.5000000000213785e-06
"
259,"7.5999999999964984e-06
"
260,"7.499999999993623e-06
"
261,"7.5999999999964984e-06
"
262,"7.399999999990747e-06
"
